from;to;migration
Afghanistan;Iran;319101
Afghanistan;Pakistan;194810
Afghanistan;Germany;80810
Afghanistan;Saudi Arabia;61820
Afghanistan;United States;55976
Afghanistan;United Kingdom;23938
Afghanistan;Turkey;22538
Afghanistan;Greece;17615
Afghanistan;Canada;17052
Afghanistan;France;13387
Afghanistan;Australia;13170
Afghanistan;Italy;12103
Afghanistan;Russia;10962
Afghanistan;Austria;9902
Afghanistan;Qatar;9136
Afghanistan;Belgium;7249
Afghanistan;Sweden;6651
Afghanistan;United Arab Emirates;6012
Afghanistan;Netherlands;5541
Afghanistan;Oman;5243
Afghanistan;Tajikistan;4458
Afghanistan;Norway;4308
Afghanistan;Kuwait;3695
Afghanistan;Bahrain;3341
Afghanistan;Switzerland;3287
Afghanistan;Denmark;2475
Afghanistan;Spain;2357
Afghanistan;Malaysia;2350
Afghanistan;Finland;1942
Afghanistan;Singapore;1927
Afghanistan;Ukraine;1913
Afghanistan;India;1801
Afghanistan;New Zealand;1090
Afghanistan;South Korea;836
Afghanistan;Japan;688
Afghanistan;Ireland;463
Afghanistan;Israel;421
Afghanistan;Kazakhstan;385
Afghanistan;Uzbekistan;286
Afghanistan;Brazil;257
Afghanistan;Luxembourg;218
Afghanistan;Hungary;212
Afghanistan;Philippines;209
Afghanistan;Czech Republic;177
Afghanistan;Belarus;173
Afghanistan;Hong Kong;146
Afghanistan;Jordan;144
Afghanistan;Cyprus;134
Afghanistan;Syria;128
Afghanistan;Libya;114
Afghanistan;Portugal;98
Afghanistan;Thailand;97
Afghanistan;Iraq;96
Afghanistan;Bulgaria;95
Afghanistan;Indonesia;94
Afghanistan;Poland;77
Afghanistan;Romania;75
Afghanistan;Egypt;72
Afghanistan;South Africa;72
Afghanistan;Mali;71
Afghanistan;China;65
Afghanistan;Estonia;62
Afghanistan;Slovakia;59
Afghanistan;Myanmar;57
Afghanistan;Turkmenistan;52
Afghanistan;Azerbaijan;50
Afghanistan;Latvia;47
Afghanistan;Iceland;44
Afghanistan;Mozambique;42
Afghanistan;Fiji;41
Afghanistan;Ecuador;36
Afghanistan;Malta;34
Afghanistan;Kyrgyzstan;33
Afghanistan;Uganda;31
Afghanistan;Nepal;29
Afghanistan;Maldives;27
Afghanistan;Lesotho;22
Afghanistan;Vietnam;22
Afghanistan;Georgia;17
Afghanistan;Botswana;15
Afghanistan;Brunei;14
Afghanistan;Sri Lanka;14
Afghanistan;Slovenia;13
Afghanistan;Lithuania;12
Afghanistan;Lebanon;9
Afghanistan;Peru;8
Afghanistan;Mauritius;7
Afghanistan;Nicaragua;7
Afghanistan;Namibia;6
Afghanistan;Mexico;5
Afghanistan;North Korea;4
Afghanistan;Dominican Republic;3
Afghanistan;Ghana;3
Afghanistan;Panama;3
Afghanistan;Guatemala;2
Afghanistan;Sierra Leone;2
Afghanistan;Argentina;1
Afghanistan;Bolivia;1
Afghanistan;Cambodia;1
Afghanistan;Moldova;1
Afghanistan;Mongolia;1
Afghanistan;Venezuela;1
Afghanistan;Afghanistan;0
Afghanistan;Albania;0
Afghanistan;Algeria;0
Afghanistan;Angola;0
Afghanistan;Armenia;0
Afghanistan;Aruba;0
Afghanistan;Bahamas;0
Afghanistan;Bangladesh;0
Afghanistan;Barbados;0
Afghanistan;Belize;0
Afghanistan;Benin;0
Afghanistan;Bhutan;0
Afghanistan;Bosnia & Herzegovina;0
Afghanistan;Burkina Faso;0
Afghanistan;Burundi;0
Afghanistan;Cameroon;0
Afghanistan;Cape Verde;0
Afghanistan;Central African Republic;0
Afghanistan;Chad;0
Afghanistan;Channel Islands;0
Afghanistan;Chile;0
Afghanistan;Colombia;0
Afghanistan;Comoros;0
Afghanistan;Congo;0
